Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,49.439999,49.439999,49.439999,49.439999,49.439999,1000
2008-06-26,50.369999,50.369999,50.150002,50.150002,50.150002,2100
2008-06-27,50.669998,50.669998,50.500000,50.520000,50.520000,6400
2008-06-30,50.900002,50.900002,50.389999,50.459999,50.459999,4900
2008-07-01,51.680000,52.200001,51.680000,52.200001,52.200001,2800
2008-07-02,51.669998,51.959999,51.660000,51.959999,51.959999,3900
2008-07-03,50.090000,50.090000,49.689999,49.689999,49.689999,200
2008-07-07,45.849998,45.849998,45.619999,45.619999,45.619999,1300
2008-07-08,46.459999,46.840000,46.459999,46.619999,46.619999,1100
2008-07-09,46.619999,46.619999,46.619999,46.619999,46.619999,0
2008-07-10,46.240002,46.240002,46.240002,46.240002,46.240002,200
2008-07-11,46.330002,46.389999,46.130001,46.389999,46.389999,8000
2008-07-14,46.389999,46.830002,46.389999,46.830002,46.830002,4800
2008-07-15,47.360001,47.360001,47.200001,47.200001,47.200001,2100
2008-07-16,47.020000,48.230000,47.020000,48.230000,48.230000,2600
2008-07-17,47.959999,47.959999,45.970001,45.970001,45.970001,8700
2008-07-18,44.849998,44.990002,44.500000,44.520000,44.520000,4100
2008-07-21,44.610001,44.770000,44.610001,44.650002,44.650002,12900
2008-07-22,44.779999,44.790001,44.250000,44.270000,44.270000,17000
2008-07-23,44.270000,44.270000,44.270000,44.270000,44.270000,0
2008-07-24,43.919998,43.919998,43.740002,43.740002,43.740002,5900
2008-07-25,44.189999,44.330002,44.180000,44.330002,44.330002,2600
2008-07-28,44.549999,44.549999,44.389999,44.389999,44.389999,4100
2008-07-29,45.240002,45.240002,44.869999,44.869999,44.869999,11400
2008-07-30,44.990002,44.990002,44.200001,44.990002,44.990002,7400
2008-07-31,45.380001,45.389999,45.380001,45.380001,45.380001,1300
2008-08-01,45.380001,45.380001,45.380001,45.380001,45.380001,0
2008-08-04,46.099998,46.099998,43.459999,43.480000,43.480000,7700
2008-08-05,43.720001,43.720001,43.169998,43.209999,43.209999,3200
2008-08-06,44.259998,44.259998,43.490002,43.490002,43.490002,500
2008-08-07,43.490002,43.490002,43.490002,43.490002,43.490002,0
2008-08-08,42.639999,42.689999,42.639999,42.689999,42.689999,600
2008-08-11,42.259998,42.700001,42.259998,42.700001,42.700001,3200
2008-08-12,43.009998,43.029999,42.980000,42.980000,42.980000,600
2008-08-13,42.320000,42.790001,41.970001,42.790001,42.790001,12600
2008-08-14,42.790001,42.790001,42.790001,42.790001,42.790001,0
2008-08-15,41.189999,41.189999,41.189999,41.189999,41.189999,2000
2008-08-18,41.189999,41.189999,41.189999,41.189999,41.189999,0
2008-08-19,41.189999,41.189999,41.189999,41.189999,41.189999,0
2008-08-20,42.130001,42.130001,41.680000,41.730000,41.730000,3700
2008-08-21,44.529999,45.049999,44.529999,44.930000,44.930000,400
2008-08-22,44.529999,44.529999,44.529999,44.529999,44.529999,300
2008-08-25,44.529999,44.529999,44.529999,44.529999,44.529999,0
2008-08-26,44.529999,44.529999,44.529999,44.529999,44.529999,0
2008-08-27,47.000000,47.000000,46.689999,46.799999,46.799999,4000
2008-08-28,46.700001,46.759998,45.349998,45.349998,45.349998,3400
2008-08-29,46.709999,46.709999,45.880001,45.889999,45.889999,3400
2008-09-02,42.189999,42.549999,42.189999,42.389999,42.389999,3800
2008-09-03,42.759998,42.980000,42.560001,42.630001,42.630001,8000
2008-09-04,42.310001,42.310001,42.310001,42.310001,42.310001,800
2008-09-05,41.889999,42.000000,41.709999,41.709999,41.709999,2700
